setV,readV
105,11.12312501800261
105,11.124358813049184
105,11.525342203185573
105,11.715346640357893
105,12.032431967327284
105,12.368024219995277
105,12.611081844170258
105,12.628354974822287
105,13.241551112969319
105,13.646235888245428
110,16.782542896635277
110,17.264956759845518
110,17.890490848458285
110,17.905296389017167
110,18.728237685081695
110,18.96636012907038
110,19.188443237453612
110,19.94475960100317
110,19.963266526701773
110,20.000280378098978
115,20.503668757100968
115,21.195827778228704
115,23.026779627343785
115,23.09833974004505
115,23.234057195168134
115,23.532635596438922
115,24.213690462147497
115,24.432072185391007
115,24.459215676415624
115,24.99221513653538
120,26.466600217190717
120,28.396255670031678
120,29.187118294885295
120,29.214261785909912
120,29.279652923378308
120,29.447449049712304
120,29.637453486884624
120,30.3185083525932
120,30.46039478294915
120,31.106903387353668
125,32.348101204206614
125,33.400528378933814
125,34.67010348185795
125,35.326482446635055
125,35.38570460887058
125,35.576942841089476
125,35.66947746958249
125,36.24442596128574
125,36.46897665976212
125,36.72560602944941
130,37.928556199858576
130,38.143236537962366
130,40.40848424347132
130,40.64167150727371
130,40.78602552772281
130,40.87609256612268
130,40.878560156215826
130,41.35974022437949
130,41.71507319779266
135,42.15183664427968
135,42.3048272300548
135,42.61821117188447
130,42.65028984309538
135,43.15121063200422
135,43.42387933729697
135,43.430048312529834
135,43.6040134140967
135,43.6459624456802
135,43.6829762970774
135,43.982788493394764
140,46.35661016300219
140,46.90935034386712
140,46.985845636754675
140,47.06604231478195
140,47.66319911732353
140,48.30477254154175
140,48.60088335271939
140,48.90192934408333
140,49.55830830886043
140,49.80013213798884
145,52.40220589121236
145,52.82539759218707
145,53.59528570124894
145,53.72606797618573
145,53.731003156372026
145,53.97159319045386
145,54.004905656711344
145,54.5144630109462
145,54.58478932860089
145,54.63290733541726
150,58.356500785976095
150,58.83768085413976
150,59.18561105727349
150,59.4693839179854
150,59.817314121119125
150,60.056670360154385
150,60.16401052920628
150,60.21953130630209
150,60.23803823200069
150,60.440380619638745
200,110.01920077114846
200,110.49667945417241
200,111.92541411810453
200,111.93651827352369
200,112.01794874659754
200,112.43373767729281
200,112.5089991751338
200,112.5410778463447
200,112.80140860117172
200,113.00128339871662
250,166.12726430912517
250,166.37895849862616
250,166.5405856497273
250,166.91565934388564
250,167.21300395010985
250,167.718859919205
250,168.04581560654697
250,168.4591369471491
250,168.6219978932968
250,168.90947213914842
300,216.95221745767412
300,219.84176545674927
300,219.90222141403137
300,219.95404080598746
300,219.9614435762669
300,220.38340148219504
300,220.50801478189896
300,220.51418375713183
300,220.60671838562484
300,221.8294092767792
350,271.4415418945464
350,272.2373396995863
350,272.307666017241
350,273.0010588334153
350,273.0935934619083
350,273.2811303089875
350,273.83140289975927
350,273.8893912669482
350,273.9510810192769
350,274.86532314878787
400,324.87967295173803
400,325.1597444273102
400,325.61378100444927
400,325.7322253289203
400,325.83709790787907
400,325.8580724236708
400,325.87534555432285
400,326.3010048453907
400,326.36022700762624
400,326.59218047638205
450,377.4467447060488
450,377.4726544020268
450,378.3548178603269
450,378.61144723001416
450,378.7064494486003
450,378.87301177988775
450,379.1173031991093
450,379.2764627601173
450,379.4442588864513
450,379.6564716344619
500,428.9724934410515
500,429.18347239401555
500,429.93732116747196
500,430.4481123167534
500,430.457982677126
500,430.66896163009005
500,431.0255283985498
500,431.19085693479065
500,431.39566691252185
500,432.0631500327181
550,484.5993769108645
550,485.65057029054515
550,486.06882681133357
550,486.2107132416895
550,486.3612362373715
550,486.39578249867554
550,487.1150850108279
550,487.6887997074846
550,487.780100540931
550,487.8269847527008
600,538.3200470337215
600,538.8715534195399
600,538.9418797371945
600,539.059090266619
600,539.2071456722078
600,539.3477983075172
600,539.469944017128
600,539.562478645621
600,539.6944947156044
600,540.8024426674274
650,591.4484955342232
650,591.6989559286776
650,591.8778562104308
650,592.2331891838439
650,592.2726706253343
650,592.368906638967
650,592.3886473597122
650,592.502156503997
650,592.8833991733882
650,593.4484773047188
700,641.9983123873862
700,642.6053395503004
700,643.7700420742658
700,643.8971229640629
700,644.2462869622432
700,644.536228798188
700,644.5572033139797
700,644.5831130099577
700,644.637399992007
700,645.7157368627122
750,694.472849513204
750,694.5147985447875
750,696.437051227349
750,696.5949769933104
750,696.8108911264608
750,697.1094695277316
750,697.3525271519065
750,697.5918833909418
750,697.7695498776484
750,697.8016285488593
800,749.9615479378008
800,751.3014493583796
800,751.7258748544009
800,751.8060715324282
800,752.298355756011
800,752.3353696074082
800,752.4698532674847
800,752.868369067528
800,753.0966211511441
800,753.8270278187156
850,803.6748152903783
850,803.9857316421148
850,804.7728928818287
850,804.7753604719219
850,805.0949133889844
850,805.440376002025
850,805.5884314076138
850,805.7364868132026
850,805.885776013838
850,806.6531965328068
900,857.1734023048521
900,857.6866610442266
900,857.9580959544728
900,858.0691375086644
900,858.1666073173437
900,858.1875818331355
900,858.1986859885546
900,858.2307646597656
900,858.2406350201381
900,858.4170677117982
950,907.9033532348149
950,910.2438624381648
950,910.5646491502739
950,910.5819222809259
950,910.6497810084875
950,910.79290123389
950,910.850889601079
950,911.0569333738567
950,911.2531067862619
950,911.2654447367277
1000,961.3316139316339
1000,963.3982206346445
1000,963.4784173126718
1000,963.4919890581841
1000,963.5092621888361
1000,963.5314704996745
1000,963.6338754885401
1000,963.984273281767
1000,964.203888800057
1000,964.3272683047144
2000,2025.4983485269804
2000,2025.7068598898513
2000,2026.2065468837136
2000,2026.9492915017508
2000,2027.3663142274927
2000,2027.6599574485772
2000,2028.059707043667
2000,2028.6099796344388
2000,2028.7469308846084
2000,2029.3107752208925
3000,3083.8045566511028
3000,3084.8643865961094
3000,3085.7292769237574
3000,3086.760729582693
3000,3087.2715207319743
3000,3087.376393310933
3000,3087.4997728155904
3000,3087.6996476131353
3000,3087.761337365464
3000,3087.804520192094
4000,4141.15827499927
4000,4141.720885540508
4000,4141.813420169001
4000,4141.947903829077
4000,4142.021931531872
4000,4142.060179178316
4000,4142.694349832254
4000,4142.743701634117
4000,4142.760974764769
4000,4142.928770891103
5000,5192.737832529474
5000,5194.523133961866
5000,5194.884635910512
5000,5195.420102960725
5000,5195.575561136593
5000,5195.985181092055
5000,5196.861175575123
5000,5197.932109675548
5000,5197.969123526946
5000,5198.109776162255
6000,6244.7948687427015
6000,6245.195852132838
6000,6246.3802953775485
6000,6246.76153804694
6000,6247.003361876068
6000,6247.359928644528
6000,6247.547465491607
6000,6247.980527552954
6000,6248.131050548636
6000,6248.562878814937
7000,7290.483054925517
7000,7291.048133056847
7000,7291.694641661252
7000,7293.764949749402
7000,7293.803197395846
7000,7294.267104333358
7000,7294.360872756897
7000,7294.627372486957
7000,7295.280050066594
7000,7295.450313783022
8000,8338.018232293052
8000,8339.486448398475
8000,8340.279778613422
8000,8340.769595246911
8000,8341.366752049453
8000,8341.48272878383
8000,8342.046573120115
8000,8342.05520968544
8000,8343.237185340058
8000,8343.333421353691
9000,9384.330718769434
9000,9385.233856743525
9000,9385.240025718758
9000,9385.987705516982
9000,9386.188814109573
9000,9386.394857882351
9000,9386.868635180235
9000,9388.233212501746
9000,9388.351656826217
9000,9388.65270281758
10000,10425.698154699148
10000,10427.693201289458
10000,10428.037430107452
10000,10428.273084961347
10000,10429.503178622781
10000,10429.65863679865
10000,10430.303911608007
10000,10430.624698320116
10000,10430.669114941793
10000,10431.081202487348
